,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
190,62.0,4.7075,15.1129,8.4514,6.2906,32.2263,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.21967937607493
191,64.0,4.7167,14.9266,8.7631,6.361,32.2382,59.5,0,0,0,1,0,0,0,0,0,1,0,0,62.37050613142884
192,62.0,4.66,16.6536,9.0945,6.3225,32.2502,59.5,0,0,0,1,0,0,0,0,0,1,0,0,65.5027606413432
193,63.0,4.7175,17.8577,8.9665,6.5478,32.2741,59.5,0,0,0,1,0,0,0,0,0,1,0,0,66.10249300440582
194,68.0,4.6367,16.0984,8.6713,6.1608,32.286,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.12501812532837
195,67.0,4.5975,17.1577,8.5499,6.1997,32.3031,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.33023468721702
196,61.0,4.4229,16.5304,8.6778,6.3688,32.306,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.57997413678633
197,62.0,4.4525,16.757,8.4941,6.5765,32.3338,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.72057741061266
198,62.0,4.5075,16.0202,8.5302,6.4268,32.3407,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.854335729609545
199,61.0,4.6158,16.6141,9.1339,6.283,32.3492,59.5,0,0,0,1,0,0,0,0,0,1,0,0,65.49518495785937
200,63.0,4.6308,17.5913,8.5564,6.352,32.3526,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.75185245865686
201,65.0,4.5308,17.0354,9.1207,6.2724,32.3697,59.5,0,0,0,1,0,0,0,0,0,1,0,0,65.31212408313985
