,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
267,4.55,24.36,15.4,6.42,52.45,122,121.1691533,-0.830846705,0.830846705,
268,4.85,27.81,14.79,6.45,52.45,122,123.5981876,1.598187642,1.598187642,
269,4.98,27.5,15.41,6.89,52.45,129,123.2446489,-5.755351088,5.755351088,
270,4.83,28.66,14.25,6.47,52.45,125,123.8091972,-1.190802822,1.190802822,
271,5.02,29.23,15.48,6.06,52.46,122,124.8771044,2.877104429,2.877104429,
272,4.91,28.73,15.3,6.28,52.46,126,124.1013398,-1.898660221,1.898660221,
273,4.79,26.34,15.31,6.35,52.47,121,122.6988215,1.698821525,1.698821525,
274,5,28.92,15.48,6.2,52.48,121,124.545446,3.545446015,3.545446015,
275,4.41,25.67,14.87,6.19,52.48,121,121.4312102,0.431210184,0.431210184,
276,5.12,27.37,14.41,5.41,52.49,122,125.701431,3.701430954,3.701430954,
277,4.74,28.35,14.85,6.19,52.5,121,123.5630254,2.56302539,2.56302539,
278,4.94,26.62,15.53,6.08,52.5,117,123.6779415,6.67794145,6.67794145,
279,4.84,27.63,15.5,6.41,52.5,122,123.1117318,1.111731766,1.111731766,
280,4.43,23.2,14.33,6.22,52.5,123,121.2185185,-1.781481533,1.781481533,
281,4.28,25.36,14.25,6.38,52.51,121,120.8764359,-0.123564084,0.123564084,
282,4.95,26.75,15.29,6.44,52.51,124,123.5025043,-0.497495661,0.497495661,
283,4.23,22.2,15.03,6.43,52.51,122,120.4378306,-1.562169354,1.562169354,
284,5.08,28.28,15.56,6.41,52.51,127,124.4231822,-2.57681779,2.57681779,
285,4.96,28.01,15.51,6.58,52.51,125,123.5921713,-1.407828722,1.407828722,
286,4.96,28.65,14.45,6.63,52.52,120,124.3256809,4.325680851,4.325680851,
287,4.95,27.04,15.31,5.78,52.52,124,124.3697597,0.369759698,0.369759698,
288,4.52,26.23,15.37,6.79,52.52,119,120.8978582,1.897858231,1.897858231,
