grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050550,1/21/2017 7:28,123,4.8,26.79,15.62,6.4,52.15,119.5
NL050550,3/31/2017 0:44,126,4.92,27.01,15.47,6.43,52.15,119.5
NL050550,3/29/2017 12:12,126,4.95,28.95,15.31,6.42,52.16,119.5
NL050550,2/17/2017 10:33,126,5.12,29.38,15.45,6.21,52.16,119.5
NL050550,2/28/2017 14:03,127,4.94,29.31,14.96,6.72,52.16,119.5
NL250550,2/27/2017 20:26,122,5.02,29.54,15.3,6.05,52.16,119.5
NL110550,1/18/2017 11:53,123,5.02,,15.31,6.16,52.16,119.5
NL050550,2/21/2017 4:05,122,5.02,29.07,15.59,6.24,52.17,119.5
NL050550,2/17/2017 12:12,126,5.2,29.44,15.46,5.79,52.17,119.5
NL110550,4/13/2017 10:29,123,5.05,25.21,15.39,5.89,52.17,119.5
NL050550,3/7/2017 1:43,122,5.01,28.8,15.58,6.19,52.17,119.5
NL250550,4/4/2017 8:43,121,4.94,28.65,14.58,6.1,52.17,119.5
NL050550,1/11/2017 13:29,125,4.5,25.94,15.11,6.67,52.17,119.5
NL050550,3/30/2017 23:09,127,4.98,27.77,15.34,6.42,52.17,119.5
NL050550,1/21/2017 4:22,123,4.96,28.94,15.27,6,52.18,119.5
NL250550,2/28/2017 0:18,128,5.1,29.05,15.05,6.03,52.18,119.5
NL050550,2/27/2017 19:21,124,4.86,28.65,15.03,6.45,52.18,119.5
NL050550,3/5/2017 23:27,125,5.02,29.33,15.35,6.43,52.19,119.5
NL050550,1/13/2017 0:34,116,4.48,23.19,15.75,6.22,52.19,119.5
NL050550,3/28/2017 12:10,124,4.82,28.99,15.47,6.42,52.19,119.5
NL050550,3/5/2017 17:02,127,5.11,30.4,15.38,6.28,52.19,119.5
NL050550,1/30/2017 0:47,125,4.74,29.45,14.63,6.32,52.19,119.5
NL050550,4/4/2017 5:21,131,5.01,25.86,14.54,5.83,52.2,119.5
NL050550,2/26/2017 12:31,122,4.97,29.42,15.74,6.28,52.2,119.5
NL250550,2/27/2017 22:04,125,5.14,29.77,15.24,5.83,52.21,119.5
NL250550,2/11/2017 10:12,127,4.99,29,14.47,6.15,52.21,119.5
NL250550,2/27/2017 22:40,124,4.93,29.49,15.14,6.74,52.21,119.5
NL050550,1/19/2017 10:40,124,4.93,,14.78,6.5,52.21,119.5
NL050550,3/28/2017 1:41,126,4.76,28.86,15.33,6.49,52.21,119.5
NL110550,1/4/2017 18:36,124,4.92,22.15,14.83,6.35,52.22,119.5
NL050550,2/27/2017 12:22,124,5.11,28.99,15.3,6.33,52.22,119.5
NL050550,1/28/2017 5:15,130,4.77,29.75,15.16,5.93,52.23,119.5
NL110550,1/18/2017 13:27,124,4.84,,15.35,6.07,52.23,119.5
NL250550,4/4/2017 9:17,121,4.81,26.14,14.63,6.38,52.24,119.5
NL110550,4/13/2017 7:19,128,5.02,28.72,15.31,5.86,52.24,119.5
NL050550,2/4/2017 16:02,123,4.82,27.4,15.51,6.24,52.24,119.5
NL050550,2/20/2017 2:59,121,5.08,27,15.7,5.82,52.24,119.5
NL050550,1/19/2017 16:16,126,4.75,26.4,15.34,6,52.25,119.5
NL110550,1/18/2017 10:22,120,4.97,,15.4,6.08,52.25,119.5
NL050550,3/6/2017 12:10,122,5.13,28.56,15.42,6.54,52.25,119.5
NL050550,3/24/2017 11:48,122,4.61,27.77,14.52,6.92,52.25,119.5
NL250550,2/28/2017 6:20,130,5.13,29.24,14.8,6.61,52.25,119.5
NL110550,4/13/2017 8:54,127,5.13,28.08,15.43,5.75,52.25,119.5
NL050550,3/6/2017 2:41,128,5.1,26.81,15.45,6.47,52.26,119.5
NL110550,3/28/2017 2:45,123,4.8,27.96,15.48,6.82,52.26,119.5
